"year","country","ptfr"
1960,"フィンランド",2.721
1961,"フィンランド",2.716
1962,"フィンランド",2.684
1963,"フィンランド",2.686
1964,"フィンランド",2.597
1965,"フィンランド",2.479
1966,"フィンランド",2.409
1967,"フィンランド",2.323
1968,"フィンランド",2.14
1969,"フィンランド",1.93
1970,"フィンランド",1.826
1971,"フィンランド",1.685
1972,"フィンランド",1.576
1973,"フィンランド",1.492
1974,"フィンランド",1.613
1975,"フィンランド",1.681
1976,"フィンランド",1.704
1977,"フィンランド",1.679
1978,"フィンランド",1.643
1979,"フィンランド",1.636
1980,"フィンランド",1.632
1981,"フィンランド",1.645
1982,"フィンランド",1.715
1983,"フィンランド",1.736
1984,"フィンランド",1.694
1985,"フィンランド",1.643
1986,"フィンランド",1.597
1987,"フィンランド",1.586
1988,"フィンランド",1.693
1989,"フィンランド",1.708
1990,"フィンランド",1.782
1991,"フィンランド",1.794
1992,"フィンランド",1.848
1993,"フィンランド",1.814
1994,"フィンランド",1.846
1995,"フィンランド",1.807
1996,"フィンランド",1.764
1997,"フィンランド",1.746
1998,"フィンランド",1.7
1999,"フィンランド",1.735
2000,"フィンランド",1.729
2001,"フィンランド",1.726
2002,"フィンランド",1.718
2003,"フィンランド",1.759
2004,"フィンランド",1.8
2005,"フィンランド",1.803
2006,"フィンランド",1.837
2007,"フィンランド",1.829
2008,"フィンランド",1.847
2009,"フィンランド",1.865
2010,"フィンランド",1.87
2011,"フィンランド",1.827
2012,"フィンランド",1.801
2013,"フィンランド",1.747
2014,"フィンランド",1.711
2015,"フィンランド",1.65
2016,"フィンランド",1.567
2017,"フィンランド",1.49
2018,"フィンランド",1.407
2019,"フィンランド",1.347
2020,"フィンランド",1.37
2021,"フィンランド",1.457
2022,"フィンランド",1.315
1960,"フランス",2.741
1961,"フランス",2.826
1962,"フランス",2.796
1963,"フランス",2.897
1964,"フランス",2.915
1965,"フランス",2.848
1966,"フランス",2.799
1967,"フランス",2.67
1968,"フランス",2.587
1969,"フランス",2.534
1970,"フランス",2.48
1971,"フランス",2.496
1972,"フランス",2.418
1973,"フランス",2.308
1974,"フランス",2.112
1975,"フランス",1.927
1976,"フランス",1.83
1977,"フランス",1.863
1978,"フランス",1.823
1979,"フランス",1.856
1980,"フランス",1.946
1981,"フランス",1.946
1982,"フランス",1.913
1983,"フランス",1.785
1984,"フランス",1.802
1985,"フランス",1.815
1986,"フランス",1.832
1987,"フランス",1.802
1988,"フランス",1.806
1989,"フランス",1.788
1990,"フランス",1.779
1991,"フランス",1.77
1992,"フランス",1.734
1993,"フランス",1.661
1994,"フランス",1.663
1995,"フランス",1.714
1996,"フランス",1.734
1997,"フランス",1.726
1998,"フランス",1.764
1999,"フランス",1.792
2000,"フランス",1.875
2001,"フランス",1.877
2002,"フランス",1.865
2003,"フランス",1.874
2004,"フランス",1.898
2005,"フランス",1.92
2006,"フランス",1.981
2007,"フランス",1.96
2008,"フランス",1.991
2009,"フランス",1.99
2010,"フランス",2.017
2011,"フランス",1.997
2012,"フランス",1.993
2013,"フランス",1.974
2014,"フランス",1.975
2015,"フランス",1.927
2016,"フランス",1.892
