"year","sex","edu","prop","num_nevmar"
2020,"女性","大卒以上",18.4386708167618,127957
2020,"女性","中卒以下",21.7069502853157,36880
2020,"女性","高卒",15.3514937573542,265365
2020,"女性","短大、高専",16.1306257527456,212415.5
2020,"男性","大卒以上",19.3354854439099,266867.5
2020,"男性","中卒以下",37.0244451234266,104817.5
2020,"男性","高卒",28.8701424881991,486720
2020,"男性","短大、高専",25.4211150290902,125116.5
2010,"女性","大卒以上",12.7682314622831,61703.5
2010,"女性","中卒以下",15.7507799097513,27819.5
2010,"女性","高卒",8.55080937596934,155750
2010,"女性","短大、高専",9.93752885935087,101258.5
2010,"男性","大卒以上",13.7846280408067,177617
2010,"男性","中卒以下",35.2932872444508,90003
2010,"男性","高卒",20.5947595010763,329500.5
2010,"男性","短大、高専",17.5754371037388,51020
2000,"女性","大卒以上",9.53278897006587,27172.5
2000,"女性","中卒以下",7.15447551376817,32241
2000,"女性","高卒",5.88867156464786,101912
2000,"女性","短大、高専",7.4254882051079,39380
2000,"男性","大卒以上",8.10178910096117,77257
2000,"男性","中卒以下",22.0232131160667,99020
2000,"男性","高卒",13.2324799794166,181032.5
2000,"男性","短大、高専",10.9349076429598,15818
1990,"女性","大卒以上",8.66709732988803,12477.5
1990,"女性","中卒以下",3.9556980598209,64029.5
1990,"女性","高卒",3.95817014880588,86007
1990,"女性","短大、高専",6.2972004156371,18999
1990,"男性","大卒以上",2.96138430113961,21725.5
1990,"男性","中卒以下",8.38576068136345,120789
1990,"男性","高卒",4.41080617267172,82761.5
1990,"男性","短大、高専",4.09144689134003,4824
