"","year","type","pop"
"1",2021,"人口推計（出生中位・死亡中位）",125526.631
"2",2030,"人口推計（出生中位・死亡中位）",120115.78
"3",2040,"人口推計（出生中位・死亡中位）",112837.405
"4",2050,"人口推計（出生中位・死亡中位）",104686.383
"5",2060,"人口推計（出生中位・死亡中位）",96147.841
"6",2070,"人口推計（出生中位・死亡中位）",86996.009
"7",2080,"人口推計（出生中位・死亡中位）",NA
"8",2090,"人口推計（出生中位・死亡中位）",NA
"9",2100,"人口推計（出生中位・死亡中位）",NA
"10",2110,"人口推計（出生中位・死亡中位）",NA
"11",2120,"人口推計（出生中位・死亡中位）",NA
"12",2130,"人口推計（出生中位・死亡中位）",NA
"13",2140,"人口推計（出生中位・死亡中位）",NA
"14",2150,"人口推計（出生中位・死亡中位）",NA
"15",2160,"人口推計（出生中位・死亡中位）",NA
"16",2170,"人口推計（出生中位・死亡中位）",NA
"17",2180,"人口推計（出生中位・死亡中位）",NA
"18",2190,"人口推計（出生中位・死亡中位）",NA
"19",2200,"人口推計（出生中位・死亡中位）",NA
"20",2300,"人口推計（出生中位・死亡中位）",NA
"21",2400,"人口推計（出生中位・死亡中位）",NA
"22",2500,"人口推計（出生中位・死亡中位）",NA
"23",3000,"人口推計（出生中位・死亡中位）",NA
"24",2021,"2021年以降人口置換水準に戻った場合の人口推計",125502
"25",2030,"2021年以降人口置換水準に戻った場合の人口推計",122631
"26",2040,"2021年以降人口置換水準に戻った場合の人口推計",116250
"27",2050,"2021年以降人口置換水準に戻った場合の人口推計",108936
"28",2060,"2021年以降人口置換水準に戻った場合の人口推計",103517
"29",2070,"2021年以降人口置換水準に戻った場合の人口推計",98882
"30",2080,"2021年以降人口置換水準に戻った場合の人口推計",95526
"31",2090,"2021年以降人口置換水準に戻った場合の人口推計",94400
"32",2100,"2021年以降人口置換水準に戻った場合の人口推計",94743
"33",2110,"2021年以降人口置換水準に戻った場合の人口推計",94876
"34",2120,"2021年以降人口置換水準に戻った場合の人口推計",94580
"35",2130,"2021年以降人口置換水準に戻った場合の人口推計",94660
"36",2140,"2021年以降人口置換水準に戻った場合の人口推計",94835
"37",2150,"2021年以降人口置換水準に戻った場合の人口推計",94663
"38",2160,"2021年以降人口置換水準に戻った場合の人口推計",94641
"39",2170,"2021年以降人口置換水準に戻った場合の人口推計",94784
"40",2180,"2021年以降人口置換水準に戻った場合の人口推計",94708
"41",2190,"2021年以降人口置換水準に戻った場合の人口推計",94651
"42",2200,"2021年以降人口置換水準に戻った場合の人口推計",94744
"43",2300,"2021年以降人口置換水準に戻った場合の人口推計",94719
"44",2400,"2021年以降人口置換水準に戻った場合の人口推計",94710
"45",2500,"2021年以降人口置換水準に戻った場合の人口推計",94708
"46",3000,"2021年以降人口置換水準に戻った場合の人口推計",94708
