"pref","year","tfr"
"全国",1975,1.91
"北海道",1975,1.82
"宮城",1975,1.96
"東京",1975,1.63
"宮崎",1975,2.11
"鹿児島",1975,2.1
"沖縄",1975,2.88
"全国",1976,1.85
"北海道",1976,1.75
"宮城",1976,1.89
"東京",1976,1.51
"宮崎",1976,2.09
"鹿児島",1976,2.05
"沖縄",1976,2.7
"全国",1977,1.8
"北海道",1977,1.7
"宮城",1977,1.88
"東京",1977,1.5
"宮崎",1977,2.06
"鹿児島",1977,2.04
"沖縄",1977,2.6
"全国",1978,1.79
"北海道",1978,1.71
"宮城",1978,1.86
"東京",1978,1.51
"宮崎",1978,2
"鹿児島",1978,1.99
"沖縄",1978,2.43
"全国",1979,1.77
"北海道",1979,1.68
"宮城",1979,1.85
"東京",1979,1.5
"宮崎",1979,2.01
"鹿児島",1979,2
"沖縄",1979,2.36
"全国",1980,1.75
"北海道",1980,1.64
"宮城",1980,1.86
"東京",1980,1.44
"宮崎",1980,1.93
"鹿児島",1980,1.95
"沖縄",1980,2.38
"全国",1981,1.74
"北海道",1981,1.6
"宮城",1981,1.8
"東京",1981,1.41
"宮崎",1981,1.92
"鹿児島",1981,1.92
"沖縄",1981,2.28
"全国",1982,1.77
"北海道",1982,1.65
"宮城",1982,1.85
"東京",1982,1.43
"宮崎",1982,1.99
"鹿児島",1982,1.98
"沖縄",1982,2.3
"全国",1983,1.8
"北海道",1983,1.68
"宮城",1983,1.86
"東京",1983,1.43
"宮崎",1983,1.99
"鹿児島",1983,1.99
"沖縄",1983,2.34
"全国",1984,1.81
"北海道",1984,1.68
"宮城",1984,1.85
"東京",1984,1.43
"宮崎",1984,2.03
"鹿児島",1984,2.03
"沖縄",1984,2.4
"全国",1985,1.76
"北海道",1985,1.61
"宮城",1985,1.8
"東京",1985,1.43
"宮崎",1985,1.9
"鹿児島",1985,1.93
"沖縄",1985,2.31
"全国",1986,1.72
"北海道",1986,1.59
"宮城",1986,1.75
"東京",1986,1.37
"宮崎",1986,1.9
"鹿児島",1986,1.75
"沖縄",1986,2.27
"全国",1987,1.69
"北海道",1987,1.54
"宮城",1987,1.71
"東京",1987,1.35
"宮崎",1987,1.83
"鹿児島",1987,1.91
"沖縄",1987,2.15
"全国",1988,1.66
"北海道",1988,1.5
"宮城",1988,1.64
"東京",1988,1.31
"宮崎",1988,1.79
"鹿児島",1988,1.79
"沖縄",1988,2.1
"全国",1989,1.57
"北海道",1989,1.41
"宮城",1989,1.59
"東京",1989,1.24
"宮崎",1989,1.77
"鹿児島",1989,1.69
"沖縄",1989,2.02
"全国",1990,1.54
"北海道",1990,1.43
"宮城",1990,1.57
"東京",1990,1.23
"宮崎",1990,1.68
"鹿児島",1990,1.73
"沖縄",1990,1.95
"全国",1991,1.53
"北海道",1991,1.43
"宮城",1991,1.57
"東京",1991,1.18
"宮崎",1991,1.74
"鹿児島",1991,1.72
"沖縄",1991,2.02
"全国",1992,1.5
"北海道",1992,1.4
"宮城",1992,1.53
"東京",1992,1.14
"宮崎",1992,1.74
"鹿児島",1992,1.7
"沖縄",1992,1.98
"全国",1993,1.46
"北海道",1993,1.33
"宮城",1993,1.44
"東京",1993,1.1
"宮崎",1993,1.68
"鹿児島",1993,1.65
"沖縄",1993,1.94
"全国",1994,1.5
"北海道",1994,1.37
"宮城",1994,1.49
"東京",1994,1.14
"宮崎",1994,1.76
"鹿児島",1994,1.71
"沖縄",1994,1.96
"全国",1995,1.42
"北海道",1995,1.31
"宮城",1995,1.46
"東京",1995,1.11
"宮崎",1995,1.7
"鹿児島",1995,1.62
"沖縄",1995,1.87
"全国",1996,1.43
"北海道",1996,1.3
"宮城",1996,1.42
"東京",1996,1.07
"宮崎",1996,1.71
"鹿児島",1996,1.63
"沖縄",1996,1.86
"全国",1997,1.39
"北海道",1997,1.27
"宮城",1997,1.38
"東京",1997,1.05
"宮崎",1997,1.66
"鹿児島",1997,1.59
"沖縄",1997,1.81
"全国",1998,1.38
"北海道",1998,1.26
"宮城",1998,1.39
"東京",1998,1.05
"宮崎",1998,1.62
"鹿児島",1998,1.56
"沖縄",1998,1.83
"全国",1999,1.34
"北海道",1999,1.2
"宮城",1999,1.35
"東京",1999,1.03
"宮崎",1999,1.56
"鹿児島",1999,1.5
"沖縄",1999,1.79
"全国",2000,1.36
"北海道",2000,1.23
"宮城",2000,1.39
"東京",2000,1.07
"宮崎",2000,1.62
"鹿児島",2000,1.58
"沖縄",2000,1.82
"全国",2001,1.33
"北海道",2001,1.21
"宮城",2001,1.33
"東京",2001,1
"宮崎",2001,1.6
"鹿児島",2001,1.53
"沖縄",2001,1.83
"全国",2002,1.32
"北海道",2002,1.22
"宮城",2002,1.31
"東京",2002,1.02
"宮崎",2002,1.56
"鹿児島",2002,1.52
"沖縄",2002,1.76
"全国",2003,1.29
"北海道",2003,1.2
"宮城",2003,1.27
"東京",2003,1
"宮崎",2003,1.49
"鹿児島",2003,1.49
"沖縄",2003,1.72
"全国",2004,1.29
"北海道",2004,1.19
"宮城",2004,1.24
"東京",2004,1.01
"宮崎",2004,1.52
"鹿児島",2004,1.46
"沖縄",2004,1.72
"全国",2005,1.26
"北海道",2005,1.15
"宮城",2005,1.24
"東京",2005,1
"宮崎",2005,1.48
"鹿児島",2005,1.49
"沖縄",2005,1.72
"全国",2006,1.32
"北海道",2006,1.18
"宮城",2006,1.25
"東京",2006,1.02
"宮崎",2006,1.55
"鹿児島",2006,1.51
"沖縄",2006,1.74
"全国",2007,1.34
"北海道",2007,1.19
"宮城",2007,1.27
"東京",2007,1.05
"宮崎",2007,1.59
"鹿児島",2007,1.54
"沖縄",2007,1.75
"全国",2008,1.37
"北海道",2008,1.2
"宮城",2008,1.29
"東京",2008,1.09
"宮崎",2008,1.6
"鹿児島",2008,1.59
"沖縄",2008,1.78
"全国",2009,1.37
"北海道",2009,1.19
"宮城",2009,1.25
"東京",2009,1.12
"宮崎",2009,1.61
"鹿児島",2009,1.56
"沖縄",2009,1.79
"全国",2010,1.39
"北海道",2010,1.26
"宮城",2010,1.3
"東京",2010,1.12
"宮崎",2010,1.68
"鹿児島",2010,1.62
"沖縄",2010,1.87
"全国",2011,1.39
"北海道",2011,1.25
"宮城",2011,1.25
"東京",2011,1.06
"宮崎",2011,1.68
"鹿児島",2011,1.64
"沖縄",2011,1.86
"全国",2012,1.41
"北海道",2012,1.26
"宮城",2012,1.3
"東京",2012,1.09
"宮崎",2012,1.67
"鹿児島",2012,1.64
